,Cluster,ID#,Balance,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
0,1,1,28143.0,1,1,1,174.0,1,0.0,0.0,7000,0
1,1,2,19244.0,1,1,1,215.0,2,0.0,0.0,6968,0
2,1,3,41354.0,1,1,1,4123.0,4,0.0,0.0,7034,0
3,1,4,14776.0,1,1,1,500.0,1,0.0,0.0,6952,0
4,3,5,97752.0,4,1,1,43300.0,26,777.5,2.5,6935,1
5,1,6,16420.0,1,1,1,0.0,0,0.0,0.0,6942,0
6,0,7,84914.0,3,1,1,27482.0,25,0.0,0.0,6994,0
7,2,8,20856.0,1,1,1,5250.0,4,250.0,1.0,6938,1
8,2,9,203218.75,3,2,1,1753.0,38,777.5,2.5,6948,1
9,2,10,104860.0,3,1,1,28426.0,28,777.5,2.5,6931,1
10,1,11,40091.0,2,1,1,7278.0,10,0.0,0.0,6959,0
11,0,12,96522.0,5,1,1,57626.25,19,0.0,0.0,6924,1
12,1,13,43382.0,2,1,1,11150.0,20,0.0,0.0,6924,0
13,1,14,43097.0,1,1,1,3258.0,6,0.0,0.0,6918,0
14,1,15,17648.0,1,1,1,0.0,0,0.0,0.0,6912,0
15,0,16,28495.0,4,1,1,49442.0,15,0.0,0.0,6912,1
16,0,17,51890.0,4,1,1,48963.0,16,0.0,0.0,6910,1
17,1,18,13958.0,1,1,1,4291.0,5,0.0,0.0,6905,1
18,1,19,91473.0,3,1,1,27408.0,17,0.0,0.0,6903,1
19,1,20,23354.0,3,1,1,10447.0,5,0.0,0.0,6896,1
20,0,21,120576.0,5,1,1,57626.25,23,250.0,2.0,6896,1
21,2,22,185681.0,1,1,1,13300.0,16,777.5,2.5,6896,1
22,2,23,20584.0,1,1,1,3450.0,11,777.5,2.5,6884,0
23,2,24,66275.0,1,1,1,2533.0,11,150.0,1.0,6884,0
24,2,25,203218.75,1,1,1,4025.0,21,700.0,2.5,7932,0
25,1,26,20726.0,1,1,1,1375.0,4,0.0,0.0,7924,0
26,2,27,18521.0,1,1,1,1227.0,2,777.5,2.0,7917,0
27,1,28,8828.0,1,1,1,0.0,0,0.0,0.0,7914,0
28,1,29,59763.0,3,1,1,33772.0,20,100.0,1.0,7907,1
29,2,30,19221.0,1,1,1,4655.0,8,500.0,1.0,7896,1
30,0,31,177926.0,3,1,1,20797.0,13,0.0,0.0,7886,0
31,1,32,10021.0,1,1,1,0.0,0,0.0,0.0,7879,0
32,0,33,203218.75,4,1,1,42044.0,23,0.0,0.0,7872,0
33,1,34,18047.0,1,1,1,100.0,1,0.0,0.0,7868,0
34,1,35,43832.0,1,1,1,0.0,0,0.0,0.0,7865,0
35,3,36,123759.0,4,1,1,50572.0,23,777.5,2.5,7865,1
36,2,37,23193.0,1,1,1,650.0,4,550.0,2.5,7861,1
37,2,38,68666.0,1,1,1,350.0,2,350.0,2.0,7861,0
38,1,39,59990.0,3,1,1,27878.0,17,0.0,0.0,7854,1
39,1,40,2176.0,1,1,1,0.0,0,0.0,0.0,7847,1
40,2,41,34616.0,1,1,1,1750.0,4,500.0,1.0,7850,0
41,0,42,10470.0,4,1,1,38094.0,26,0.0,0.0,7840,1
42,2,43,60313.0,1,1,1,10000.0,26,777.5,2.5,7829,1
43,1,44,203218.75,3,1,1,15008.0,14,0.0,0.0,7819,1
44,0,45,121260.0,3,1,1,18493.0,18,0.0,0.0,7808,0
45,2,46,203218.75,1,1,1,23600.0,14,777.5,2.5,6884,1
46,1,47,92336.0,2,1,1,11214.0,6,0.0,0.0,6884,0
47,2,48,36924.0,1,1,1,5900.0,6,300.0,2.0,6879,1
48,1,49,70312.0,3,1,1,34678.0,24,500.0,1.0,6875,1
49,2,50,17051.0,1,1,1,1150.0,4,777.5,2.5,6868,0
50,2,51,108137.0,1,1,1,6368.0,5,777.5,2.5,6844,0
51,1,52,1300.0,1,1,1,370.0,1,0.0,0.0,6868,0
52,0,53,118531.0,4,1,1,44577.0,38,0.0,0.0,6868,1
53,2,54,121395.0,1,1,1,4970.0,8,650.0,2.0,6889,1
54,1,55,38348.0,1,1,1,0.0,0,0.0,0.0,6861,0
55,1,56,14448.0,1,1,1,1625.0,6,0.0,0.0,6856,0
56,0,57,75971.0,4,1,1,34339.0,14,0.0,0.0,6869,0
57,2,58,36298.0,1,1,1,3100.0,5,600.0,2.5,6865,1
58,0,59,38077.0,3,1,1,34024.0,8,0.0,0.0,6837,0
59,2,60,95118.0,3,1,1,23188.0,23,777.5,2.5,6865,1
60,1,61,134457.0,3,1,1,15588.0,14,0.0,0.0,6861,0
61,1,62,19918.0,1,1,1,17601.0,11,0.0,0.0,6863,0
62,1,63,10120.0,1,1,1,0.0,0,0.0,0.0,6864,0
63,1,64,203218.75,1,1,1,28079.0,8,0.0,0.0,6835,0
64,1,65,80250.0,1,1,1,895.0,2,0.0,0.0,6833,0
65,3,66,53914.0,3,1,1,33767.0,38,777.5,2.5,6826,1
66,1,67,9375.0,1,1,1,1750.0,7,0.0,0.0,6826,0
67,0,68,83237.0,4,1,1,35287.0,18,0.0,0.0,6837,0
68,1,69,203218.75,3,1,1,24047.0,12,0.0,0.0,6826,1
69,1,71,47457.0,3,1,1,12621.0,16,0.0,0.0,7766,1
70,2,72,84409.0,2,1,1,15436.0,16,777.5,2.5,7766,0
71,0,73,203218.75,4,1,1,39787.0,13,0.0,0.0,7787,0
72,0,74,203218.75,3,1,1,12500.0,13,50.0,1.0,7801,0
73,2,75,12646.0,1,1,1,631.0,4,631.0,2.5,7787,0
74,0,76,123867.0,3,1,1,25308.0,17,0.0,0.0,7759,0
75,0,78,129871.0,3,1,1,15776.0,22,0.0,0.0,7752,0
76,1,79,109380.0,1,1,1,7537.0,16,0.0,0.0,7749,0
77,0,80,111157.0,4,1,1,32883.0,19,0.0,0.0,7771,0
78,0,81,49238.0,4,1,1,38037.0,18,0.0,0.0,7801,1
79,0,82,38896.0,5,1,1,57626.25,16,556.0,1.0,7771,1
80,1,83,4340.0,1,1,1,32685.0,5,0.0,0.0,7733,1
81,2,84,88443.0,1,1,1,1200.0,3,777.5,2.5,6837,0
82,1,85,8454.0,1,1,1,498.0,9,0.0,0.0,6821,0
83,1,86,61990.0,1,1,1,1625.0,6,0.0,0.0,6833,0
84,1,87,24093.0,1,1,1,1750.0,7,0.0,0.0,6819,0
85,3,88,35418.0,5,1,1,57626.25,18,777.5,2.5,6813,1
86,1,89,40284.0,1,1,1,7719.0,5,0.0,0.0,6827,1
87,2,90,203218.75,3,1,1,21422.0,22,777.5,2.5,6820,0
88,2,91,62553.0,2,1,1,7672.0,16,700.0,1.0,6819,0
89,2,92,48433.0,1,1,1,3500.0,4,500.0,1.0,6807,1
90,2,93,20508.0,1,1,1,22250.0,8,777.5,2.5,6794,1
91,2,94,2000.0,1,1,1,2000.0,4,777.5,2.5,6809,0
92,0,95,78629.0,4,1,1,36679.0,25,0.0,0.0,6817,1
93,2,96,143566.0,1,1,1,5000.0,5,777.5,2.5,6785,1
94,3,97,185549.0,5,1,1,57626.25,38,777.5,2.5,6778,1
95,1,98,16796.0,1,1,1,2875.0,16,0.0,0.0,6773,0
96,1,99,57346.0,1,1,1,5560.0,23,0.0,0.0,6766,0
97,0,100,102062.0,4,1,1,44247.0,16,0.0,0.0,6758,0
98,1,101,22324.0,1,1,1,1375.0,4,0.0,0.0,6753,0
99,1,102,64824.0,3,1,1,20184.0,13,0.0,0.0,6770,1
100,0,103,25076.0,5,1,1,57203.0,14,0.0,0.0,6750,1
101,1,104,8053.0,1,1,1,0.0,0,0.0,0.0,6750,1
102,1,105,35119.0,1,1,1,0.0,0,0.0,0.0,6749,0
103,2,106,28667.0,1,1,1,3861.0,7,777.5,2.5,6749,1
104,1,107,34327.0,1,1,1,0.0,0,0.0,0.0,6745,0
105,0,108,3734.0,5,1,1,57626.25,18,150.0,2.0,6760,1
106,2,109,96627.0,1,1,3,49059.0,26,777.5,2.5,6738,1
107,1,110,43498.0,1,1,1,0.0,0,0.0,0.0,6759,1
